Exit code: 0
Wall time: 2.8 seconds
Output:
model,n,d,center,empirical_mean,mcse_mean,empirical_variance,mcse_variance,theoretical_variance
Mean shift,200,100,3.75,-0.05040605535551124,0.09810398356793126,9.624391591896925,0.4306312463101709,9.625
Covariance spike,200,100,4.666666666666667,0.08044728906030739,0.17205811323813702,29.60399433106758,1.3245933369211769,30.22222222222222
Mean shift,400,200,3.75,-0.09520864861511623,0.097286868328297,9.464734749127395,0.4234876025247627,9.625
Covariance spike,400,200,4.666666666666667,-0.2066326951915285,0.1757612925474317,30.892031957943868,1.382224953762612,30.22222222222222
Mean shift,800,400,3.75,-0.14886932691798757,0.09592189851374865,9.201010614481895,0.41168759919986897,9.625
Covariance spike,800,400,4.666666666666667,-0.009816486989883856,0.17100467425158009,29.242598615889015,1.3084231420831438,30.22222222222222

